ticker,date,price_type,price
SPY,2021-01-04,open,375.31
SPY,2021-01-05,open,368.1
SPY,2021-01-06,open,369.71
SPY,2021-01-07,open,376.1
SPY,2021-01-08,open,380.59
SPY,2021-01-11,open,377.85
SPY,2021-01-12,open,378.89
SPY,2021-01-13,open,378.69
SPY,2021-01-14,open,380.59
SPY,2021-01-15,open,376.72
SPY,2021-01-19,open,378.34
SPY,2021-01-20,open,381.11
SPY,2021-01-21,open,384.49
SPY,2021-01-22,open,382.25
SPY,2021-01-25,open,383.67
SPY,2021-01-26,open,385.41
SPY,2021-01-27,open,380.22
SPY,2021-01-28,open,376.36
SPY,2021-01-29,open,375.63
SPY,2021-02-01,open,373.72
SPY,2021-02-02,open,379.65
SPY,2021-02-03,open,382.44
SPY,2021-02-04,open,382.96
SPY,2021-02-05,open,388.2
SPY,2021-02-08,open,389.27
SPY,2021-02-09,open,389.61
SPY,2021-02-10,open,392.12
SPY,2021-02-11,open,391.24
SPY,2021-02-12,open,389.85
SPY,2021-02-16,open,393.96
SPY,2021-02-17,open,390.42
SPY,2021-02-18,open,389.59
SPY,2021-02-19,open,392.07
SPY,2021-02-22,open,387.06
SPY,2021-02-23,open,384.66
SPY,2021-02-24,open,386.33
SPY,2021-02-25,open,390.41
SPY,2021-02-26,open,384.35
SPY,2021-03-01,open,385.59
SPY,2021-03-02,open,389.82
SPY,2021-03-03,open,385.79
SPY,2021-03-04,open,381.22
SPY,2021-03-05,open,380.46
SPY,2021-03-08,open,384.66
SPY,2021-03-09,open,385.85
SPY,2021-03-10,open,389.69
SPY,2021-03-11,open,392.23
SPY,2021-03-12,open,392.07
SPY,2021-03-15,open,394.33
SPY,2021-03-16,open,397.07
SPY,2021-03-17,open,394.53
SPY,2021-03-18,open,394.48
SPY,2021-03-19,open,389.88
SPY,2021-03-22,open,390.03
SPY,2021-03-23,open,391.91
SPY,2021-03-24,open,391.0
SPY,2021-03-25,open,385.98
SPY,2021-03-26,open,390.93
SPY,2021-03-29,open,394.4
SPY,2021-03-30,open,394.42
SPY,2021-03-31,open,395.34
SPY,2021-04-01,open,398.4
SPY,2021-04-05,open,403.46
SPY,2021-04-06,open,405.76
SPY,2021-04-07,open,405.94
SPY,2021-04-08,open,407.93
SPY,2021-04-09,open,408.39
SPY,2021-04-12,open,410.85
SPY,2021-04-13,open,411.53
SPY,2021-04-14,open,412.83
SPY,2021-04-15,open,413.74
SPY,2021-04-16,open,417.25
SPY,2021-04-19,open,416.26
SPY,2021-04-20,open,413.91
SPY,2021-04-21,open,411.51
SPY,2021-04-22,open,415.89
SPY,2021-04-23,open,412.87
SPY,2021-04-26,open,417.44
SPY,2021-04-27,open,417.93
SPY,2021-04-28,open,417.81
SPY,2021-04-29,open,420.32
SPY,2021-04-30,open,417.63
SPY,2021-05-03,open,419.43
SPY,2021-05-04,open,416.07
SPY,2021-05-05,open,417.38
SPY,2021-05-06,open,415.83
SPY,2021-05-07,open,419.89
SPY,2021-05-10,open,422.5
SPY,2021-05-11,open,413.1
SPY,2021-05-12,open,411.23
SPY,2021-05-13,open,407.07
SPY,2021-05-14,open,413.21
SPY,2021-05-17,open,415.39
SPY,2021-05-18,open,415.8
SPY,2021-05-19,open,406.92
SPY,2021-05-20,open,411.8
SPY,2021-05-21,open,416.87
SPY,2021-05-24,open,417.34
SPY,2021-05-25,open,420.33
SPY,2021-05-26,open,418.87
SPY,2021-05-27,open,420.17
SPY,2021-05-28,open,420.97
SPY,2021-06-01,open,422.57
SPY,2021-06-02,open,420.37
SPY,2021-06-03,open,417.85
SPY,2021-06-04,open,420.75
SPY,2021-06-07,open,422.59
SPY,2021-06-08,open,423.11
SPY,2021-06-09,open,423.18
SPY,2021-06-10,open,422.96
SPY,2021-06-11,open,424.2
SPY,2021-06-14,open,424.43
SPY,2021-06-15,open,425.42
SPY,2021-06-16,open,424.63
SPY,2021-06-17,open,421.67
SPY,2021-06-18,open,417.09
SPY,2021-06-21,open,416.8
SPY,2021-06-22,open,420.85
SPY,2021-06-23,open,423.19
SPY,2021-06-24,open,424.89
SPY,2021-06-25,open,425.9
SPY,2021-06-28,open,427.17
SPY,2021-06-29,open,427.88
SPY,2021-06-30,open,427.21
SPY,2021-07-01,open,428.87
SPY,2021-07-02,open,431.67
SPY,2021-07-06,open,433.78
SPY,2021-07-07,open,433.66
SPY,2021-07-08,open,428.78
SPY,2021-07-09,open,432.53
SPY,2021-07-12,open,435.43
SPY,2021-07-13,open,436.24
SPY,2021-07-14,open,437.4
